player_id,player,squad,comp,nation_code,league_nation,position,position_role,age,min,ninety_mins_played,goals,assists,xg,xag,passes_completed,pass_completion_pct,passes_completed_per90,pabr,take_ons_attempted,take_ons_successful,take_ons_per90,shots,shots_on_target,shots_per90,tackles,tackles_per90,interceptions,interceptions_per90,aerials_won,aerials_won_per90,progressive_carries,progressive_carries_per90,touches_att_third_per90,xt_carry,sprint_count_proxy,accel_count_proxy,ddi_proxy,market_value_m,market_value_source,is_foreign
oihan-sancet-athletic-club,Oihan Sancet,Athletic Club,La Liga,ESP,ESP,MF,AM,24.0,1010,11.2,7,1,5.3,1.1,301,81.1,26.875,0.8109999999999999,31,16,1.4285714285714286,22,9,1.9642857142857144,10,0.8928571428571429,5,0.44642857142857145,7,0.625,33,2.9464285714285716,18.482142857142858,2.7455357142857144,3.38,19.96,91.88,44.47,imputed,0
omari-hutchinson-ipswich-town,Omari Hutchinson,Ipswich Town,Premier League,ENG,ENG,"MF,FW",AM,21.0,1356,15.1,1,1,1.3,1.5,332,75.6,21.986754966887418,0.7559999999999999,80,33,2.185430463576159,22,8,1.456953642384106,18,1.1920529801324504,6,0.3973509933774835,5,0.33112582781456956,46,3.0463576158940397,19.602649006622517,2.748344370860927,3.7,21.13,98.15,18.0,transfermarkt,0
pablo-fornals-betis,Pablo Fornals,Betis,La Liga,ESP,ESP,"MF,FW",AM,28.0,977,10.9,1,0,1.2,1.9,403,76.8,36.97247706422018,0.768,18,5,0.4587155963302752,15,3,1.3761467889908257,11,1.0091743119266054,14,1.2844036697247705,14,1.2844036697247705,16,1.4678899082568806,24.03669724770642,1.5825688073394495,1.61,24.77,53.67,19.2,imputed,0
pape-gueye-villarreal,Pape Gueye,Villarreal,La Liga,SEN,ESP,"MF,FW",AM,25.0,1059,11.8,0,0,1.5,0.5,416,78.8,35.25423728813559,0.7879999999999999,14,2,0.1694915254237288,25,7,2.11864406779661,28,2.3728813559322033,12,1.0169491525423728,13,1.1016949152542372,18,1.5254237288135593,11.525423728813559,1.9915254237288134,1.58,12.29,68.47,18.52,imputed,1
pape-matar-sarr-tottenham,Pape Matar Sarr,Tottenham,Premier League,SEN,ENG,MF,AM,22.0,911,10.1,1,2,1.6,1.2,490,87.3,48.51485148514852,0.873,14,5,0.49504950495049505,16,7,1.5841584158415842,29,2.871287128712871,16,1.5841584158415842,15,1.4851485148514851,14,1.3861386138613863,16.33663366336634,1.311881188118812,1.53,17.03,37.13,25.74,imputed,1
paul-wanner-heidenheim,Paul Wanner,Heidenheim,Bundesliga,GER,GER,"MF,FW",AM,19.0,1053,11.7,3,1,2.4,1.0,263,70.9,22.47863247863248,0.7090000000000001,42,19,1.623931623931624,11,2,0.9401709401709403,26,2.2222222222222223,3,0.25641025641025644,7,0.5982905982905983,17,1.4529914529914532,14.615384615384617,1.4316239316239319,1.94,15.34,53.93,15.41,imputed,0
pedri-barcelona,Pedri,Barcelona,La Liga,ESP,ESP,MF,AM,22.0,1425,15.8,4,2,1.7,3.5,986,87.5,62.405063291139236,0.875,27,18,1.1392405063291138,16,8,1.0126582278481011,28,1.7721518987341771,12,0.7594936708860759,1,0.06329113924050632,38,2.4050632911392404,24.556962025316455,1.9303797468354431,2.75,25.76,62.15,45.55,imputed,0
răzvan-marin-cagliari,Răzvan Marin,Cagliari,Serie A,ROU,ITA,MF,AM,28.0,918,10.2,3,0,2.2,2.1,365,76.2,35.7843137254902,0.762,12,6,0.5882352941176471,14,5,1.3725490196078431,14,1.3725490196078431,2,0.19607843137254904,9,0.8823529411764707,17,1.6666666666666667,14.11764705882353,1.5686274509803924,1.84,14.95,49.41,24.81,imputed,1
scott-mctominay-napoli,Scott McTominay,Napoli,Serie A,SCO,ITA,MF,AM,28.0,1178,13.1,3,2,2.4,1.3,338,87.1,25.801526717557252,0.871,39,14,1.0687022900763359,26,8,1.984732824427481,19,1.450381679389313,13,0.9923664122137404,15,1.1450381679389314,24,1.83206106870229,10.68702290076336,2.0801526717557253,2.15,11.6,72.6,28.46,imputed,1
sergi-darder-mallorca,Sergi Darder,Mallorca,La Liga,ESP,ESP,"MF,FW",AM,31.0,1213,13.5,0,1,1.2,1.5,410,74.1,30.37037037037037,0.741,31,13,0.9629629629629629,15,4,1.1111111111111112,24,1.7777777777777777,7,0.5185185185185185,7,0.5185185185185185,23,1.7037037037037037,17.77777777777778,1.3703703703703702,1.99,18.63,40.89,12.04,imputed,0
sergio-gómez-real-sociedad,Sergio Gómez,Real Sociedad,La Liga,ESP,ESP,"MF,DF",AM,24.0,1369,15.2,0,4,0.5,5.2,610,75.9,40.131578947368425,0.759,25,11,0.7236842105263158,9,6,0.5921052631578948,46,3.0263157894736845,10,0.6578947368421053,10,0.6578947368421053,25,1.6447368421052633,23.947368421052634,1.2828947368421053,1.86,24.77,41.05,10.0,transfermarkt,0
simon-sohm-parma,Simon Sohm,Parma,Serie A,SUI,ITA,MF,AM,23.0,1328,14.8,3,0,1.9,0.3,475,85.1,32.0945945945946,0.851,12,5,0.33783783783783783,19,7,1.2837837837837838,14,0.9459459459459459,12,0.8108108108108107,16,1.081081081081081,34,2.2972972972972974,10.945945945945946,1.8412162162162162,2.4,12.09,53.04,24.87,imputed,1
takefusa-kubo-real-sociedad,Takefusa Kubo,Real Sociedad,La Liga,JPN,ESP,"MF,FW",AM,23.0,1188,13.2,3,0,1.9,2.1,324,71.1,24.545454545454547,0.711,72,30,2.272727272727273,21,7,1.590909090909091,20,1.5151515151515151,8,0.6060606060606061,4,0.30303030303030304,70,5.303030303030304,25.60606060606061,4.090909090909091,5.98,28.26,132.58,50.0,transfermarkt,1
takumi-minamino-monaco,Takumi Minamino,Monaco,Ligue 1,JPN,FRA,"MF,FW",AM,29.0,965,10.7,1,1,3.2,3.7,200,67.1,18.69158878504673,0.6709999999999999,20,7,0.6542056074766356,25,6,2.336448598130841,11,1.0280373831775702,4,0.3738317757009346,10,0.9345794392523366,19,1.7757009345794394,17.102803738317757,2.8504672897196266,1.97,17.99,114.77,22.56,imputed,1
teun-koopmeiners-juventus,Teun Koopmeiners,Juventus,Serie A,NED,ITA,"MF,FW",AM,26.0,940,10.4,1,3,2.3,1.9,411,82.5,39.51923076923077,0.825,8,5,0.4807692307692307,19,5,1.8269230769230769,15,1.4423076923076923,5,0.4807692307692307,6,0.5769230769230769,16,1.5384615384615383,21.73076923076923,1.8028846153846152,1.68,22.5,61.06,31.79,imputed,1
tijjani-reijnders-milan,Tijjani Reijnders,Milan,Serie A,NED,ITA,MF,AM,26.0,1181,13.1,4,2,1.9,1.6,540,87.8,41.221374045801525,0.878,35,20,1.5267175572519085,25,8,1.9083969465648856,6,0.4580152671755725,12,0.916030534351145,2,0.15267175572519084,49,3.740458015267176,17.938931297709924,2.8244274809160306,4.2,19.81,81.68,37.36,imputed,1
tom-bischof-hoffenheim,Tom Bischof,Hoffenheim,Bundesliga,GER,GER,MF,AM,19.0,1023,11.4,2,1,0.8,1.6,512,80.1,44.91228070175438,0.8009999999999999,15,8,0.7017543859649122,22,7,1.9298245614035088,50,4.385964912280701,13,1.1403508771929824,5,0.43859649122807015,23,2.017543859649123,22.982456140350877,1.9517543859649122,2.23,23.99,60.26,16.89,imputed,0
tomáš-souček-west-ham,Tomáš Souček,West Ham,Premier League,CZE,ENG,MF,AM,29.0,1165,12.9,4,0,2.8,0.5,320,73.1,24.806201550387595,0.731,4,1,0.07751937984496124,31,7,2.4031007751937983,19,1.4728682170542635,11,0.8527131782945736,53,4.108527131782946,2,0.15503875968992248,10.69767441860465,1.7441860465116277,0.18,10.78,77.83,22.25,imputed,1
téji-savanier-montpellier,Téji Savanier,Montpellier,Ligue 1,FRA,FRA,MF,AM,33.0,1109,12.3,1,3,2.3,3.8,531,71.1,43.170731707317074,0.711,39,10,0.8130081300813008,24,7,1.951219512195122,14,1.1382113821138211,10,0.8130081300813008,13,1.056910569105691,11,0.8943089430894309,23.008130081300813,1.3008130081300813,1.14,23.46,43.9,13.69,imputed,0
vitinha-paris-s-g,Vitinha,Paris S-G,Ligue 1,POR,FRA,MF,AM,24.0,1034,11.5,3,0,2.5,1.4,1082,92.5,94.08695652173913,0.925,23,14,1.2173913043478262,11,4,0.9565217391304348,21,1.826086956521739,5,0.43478260869565216,0,0.0,22,1.9130434782608696,29.73913043478261,1.5217391304347825,2.28,30.7,48.35,42.26,imputed,1
yann-gboho-toulouse,Yann Gboho,Toulouse,Ligue 1,FRA,FRA,"MF,FW",AM,23.0,1197,13.3,2,2,2.3,2.1,194,66.4,14.586466165413533,0.664,72,34,2.556390977443609,23,10,1.7293233082706767,18,1.3533834586466165,3,0.22556390977443608,4,0.3007518796992481,63,4.7368421052631575,19.32330827067669,4.135338345864661,5.5,21.69,146.32,26.72,imputed,0
yassine-kechta-le-havre,Yassine Kechta,Le Havre,Ligue 1,MAR,FRA,"MF,FW",AM,22.0,961,10.7,0,0,0.8,0.3,281,78.9,26.261682242990656,0.789,7,2,0.1869158878504673,12,5,1.1214953271028039,30,2.8037383177570097,12,1.1214953271028039,4,0.3738317757009346,20,1.869158878504673,11.77570093457944,1.518691588785047,1.93,12.71,43.27,11.82,imputed,1
